,date,country,area,mtu,price(eur/mwh)
0,01.12.2022,Albania,BZN AL,00:00 - 01:00,
1,01.12.2022,Albania,BZN AL,01:00 - 02:00,
2,01.12.2022,Albania,BZN AL,02:00 - 03:00,
3,01.12.2022,Albania,BZN AL,03:00 - 04:00,
4,01.12.2022,Albania,BZN AL,04:00 - 05:00,
5,01.12.2022,Albania,BZN AL,05:00 - 06:00,
6,01.12.2022,Albania,BZN AL,06:00 - 07:00,
7,01.12.2022,Albania,BZN AL,07:00 - 08:00,
8,01.12.2022,Albania,BZN AL,08:00 - 09:00,
9,01.12.2022,Albania,BZN AL,09:00 - 10:00,
10,01.12.2022,Albania,BZN AL,10:00 - 11:00,
11,01.12.2022,Albania,BZN AL,11:00 - 12:00,
12,01.12.2022,Albania,BZN AL,12:00 - 13:00,
13,01.12.2022,Albania,BZN AL,13:00 - 14:00,
14,01.12.2022,Albania,BZN AL,14:00 - 15:00,
15,01.12.2022,Albania,BZN AL,15:00 - 16:00,
16,01.12.2022,Albania,BZN AL,16:00 - 17:00,
17,01.12.2022,Albania,BZN AL,17:00 - 18:00,
18,01.12.2022,Albania,BZN AL,18:00 - 19:00,
19,01.12.2022,Albania,BZN AL,19:00 - 20:00,
20,01.12.2022,Albania,BZN AL,20:00 - 21:00,
21,01.12.2022,Albania,BZN AL,21:00 - 22:00,
22,01.12.2022,Albania,BZN AL,22:00 - 23:00,
23,01.12.2022,Albania,BZN AL,23:00 - 00:00,
0,01.12.2022,Austria,BZN AT,00:00 - 01:00,291.72
1,01.12.2022,Austria,BZN AT,01:00 - 02:00,290.87
2,01.12.2022,Austria,BZN AT,02:00 - 03:00,283.78
3,01.12.2022,Austria,BZN AT,03:00 - 04:00,273.79
4,01.12.2022,Austria,BZN AT,04:00 - 05:00,271.12
5,01.12.2022,Austria,BZN AT,05:00 - 06:00,283.44
6,01.12.2022,Austria,BZN AT,06:00 - 07:00,350.03
7,01.12.2022,Austria,BZN AT,07:00 - 08:00,445.58
8,01.12.2022,Austria,BZN AT,08:00 - 09:00,461.67
9,01.12.2022,Austria,BZN AT,09:00 - 10:00,458.17
10,01.12.2022,Austria,BZN AT,10:00 - 11:00,449.53
11,01.12.2022,Austria,BZN AT,11:00 - 12:00,443.43
12,01.12.2022,Austria,BZN AT,12:00 - 13:00,434.94
13,01.12.2022,Austria,BZN AT,13:00 - 14:00,446.54
14,01.12.2022,Austria,BZN AT,14:00 - 15:00,464.07
15,01.12.2022,Austria,BZN AT,15:00 - 16:00,460.61
16,01.12.2022,Austria,BZN AT,16:00 - 17:00,458.03
17,01.12.2022,Austria,BZN AT,17:00 - 18:00,484.07
18,01.12.2022,Austria,BZN AT,18:00 - 19:00,469.79
19,01.12.2022,Austria,BZN AT,19:00 - 20:00,457.89
20,01.12.2022,Austria,BZN AT,20:00 - 21:00,429.82
21,01.12.2022,Austria,BZN AT,21:00 - 22:00,379.49
22,01.12.2022,Austria,BZN AT,22:00 - 23:00,340.02
23,01.12.2022,Austria,BZN AT,23:00 - 00:00,306.64
0,01.12.2022,Austria,BZN DE-AT-LU,00:00 - 01:00,
1,01.12.2022,Austria,BZN DE-AT-LU,01:00 - 02:00,
2,01.12.2022,Austria,BZN DE-AT-LU,02:00 - 03:00,
3,01.12.2022,Austria,BZN DE-AT-LU,03:00 - 04:00,
4,01.12.2022,Austria,BZN DE-AT-LU,04:00 - 05:00,
5,01.12.2022,Austria,BZN DE-AT-LU,05:00 - 06:00,
6,01.12.2022,Austria,BZN DE-AT-LU,06:00 - 07:00,
7,01.12.2022,Austria,BZN DE-AT-LU,07:00 - 08:00,
8,01.12.2022,Austria,BZN DE-AT-LU,08:00 - 09:00,
9,01.12.2022,Austria,BZN DE-AT-LU,09:00 - 10:00,
10,01.12.2022,Austria,BZN DE-AT-LU,10:00 - 11:00,
11,01.12.2022,Austria,BZN DE-AT-LU,11:00 - 12:00,
12,01.12.2022,Austria,BZN DE-AT-LU,12:00 - 13:00,
13,01.12.2022,Austria,BZN DE-AT-LU,13:00 - 14:00,
14,01.12.2022,Austria,BZN DE-AT-LU,14:00 - 15:00,
15,01.12.2022,Austria,BZN DE-AT-LU,15:00 - 16:00,
16,01.12.2022,Austria,BZN DE-AT-LU,16:00 - 17:00,
17,01.12.2022,Austria,BZN DE-AT-LU,17:00 - 18:00,
18,01.12.2022,Austria,BZN DE-AT-LU,18:00 - 19:00,
19,01.12.2022,Austria,BZN DE-AT-LU,19:00 - 20:00,
20,01.12.2022,Austria,BZN DE-AT-LU,20:00 - 21:00,
21,01.12.2022,Austria,BZN DE-AT-LU,21:00 - 22:00,
22,01.12.2022,Austria,BZN DE-AT-LU,22:00 - 23:00,
23,01.12.2022,Austria,BZN DE-AT-LU,23:00 - 00:00,
0,01.12.2022,Belgium,BZN BE,00:00 - 01:00,292.87
1,01.12.2022,Belgium,BZN BE,01:00 - 02:00,291.15
2,01.12.2022,Belgium,BZN BE,02:00 - 03:00,284.28
3,01.12.2022,Belgium,BZN BE,03:00 - 04:00,274.07
4,01.12.2022,Belgium,BZN BE,04:00 - 05:00,271.34
5,01.12.2022,Belgium,BZN BE,05:00 - 06:00,283.22
6,01.12.2022,Belgium,BZN BE,06:00 - 07:00,336.0
7,01.12.2022,Belgium,BZN BE,07:00 - 08:00,432.34
8,01.12.2022,Belgium,BZN BE,08:00 - 09:00,456.43
9,01.12.2022,Belgium,BZN BE,09:00 - 10:00,456.1
10,01.12.2022,Belgium,BZN BE,10:00 - 11:00,437.0
11,01.12.2022,Belgium,BZN BE,11:00 - 12:00,436.12
12,01.12.2022,Belgium,BZN BE,12:00 - 13:00,424.41
13,01.12.2022,Belgium,BZN BE,13:00 - 14:00,425.38
14,01.12.2022,Belgium,BZN BE,14:00 - 15:00,442.97
15,01.12.2022,Belgium,BZN BE,15:00 - 16:00,456.23
16,01.12.2022,Belgium,BZN BE,16:00 - 17:00,456.38
17,01.12.2022,Belgium,BZN BE,17:00 - 18:00,484.07
18,01.12.2022,Belgium,BZN BE,18:00 - 19:00,469.79
19,01.12.2022,Belgium,BZN BE,19:00 - 20:00,457.89
20,01.12.2022,Belgium,BZN BE,20:00 - 21:00,425.28
21,01.12.2022,Belgium,BZN BE,21:00 - 22:00,364.0
22,01.12.2022,Belgium,BZN BE,22:00 - 23:00,337.01
23,01.12.2022,Belgium,BZN BE,23:00 - 00:00,315.96
0,01.12.2022,Bosnia and Herzegovenia,BZN BA,00:00 - 01:00,
1,01.12.2022,Bosnia and Herzegovenia,BZN BA,01:00 - 02:00,
2,01.12.2022,Bosnia and Herzegovenia,BZN BA,02:00 - 03:00,
3,01.12.2022,Bosnia and Herzegovenia,BZN BA,03:00 - 04:00,
4,01.12.2022,Bosnia and Herzegovenia,BZN BA,04:00 - 05:00,
5,01.12.2022,Bosnia and Herzegovenia,BZN BA,05:00 - 06:00,
6,01.12.2022,Bosnia and Herzegovenia,BZN BA,06:00 - 07:00,
7,01.12.2022,Bosnia and Herzegovenia,BZN BA,07:00 - 08:00,
8,01.12.2022,Bosnia and Herzegovenia,BZN BA,08:00 - 09:00,
9,01.12.2022,Bosnia and Herzegovenia,BZN BA,09:00 - 10:00,
10,01.12.2022,Bosnia and Herzegovenia,BZN BA,10:00 - 11:00,
11,01.12.2022,Bosnia and Herzegovenia,BZN BA,11:00 - 12:00,
12,01.12.2022,Bosnia and Herzegovenia,BZN BA,12:00 - 13:00,
13,01.12.2022,Bosnia and Herzegovenia,BZN BA,13:00 - 14:00,
14,01.12.2022,Bosnia and Herzegovenia,BZN BA,14:00 - 15:00,
15,01.12.2022,Bosnia and Herzegovenia,BZN BA,15:00 - 16:00,
16,01.12.2022,Bosnia and Herzegovenia,BZN BA,16:00 - 17:00,
17,01.12.2022,Bosnia and Herzegovenia,BZN BA,17:00 - 18:00,
18,01.12.2022,Bosnia and Herzegovenia,BZN BA,18:00 - 19:00,
19,01.12.2022,Bosnia and Herzegovenia,BZN BA,19:00 - 20:00,
20,01.12.2022,Bosnia and Herzegovenia,BZN BA,20:00 - 21:00,
21,01.12.2022,Bosnia and Herzegovenia,BZN BA,21:00 - 22:00,
22,01.12.2022,Bosnia and Herzegovenia,BZN BA,22:00 - 23:00,
23,01.12.2022,Bosnia and Herzegovenia,BZN BA,23:00 - 00:00,
0,01.12.2022,Bulgaria,BZN BG,00:00 - 01:00,172.33
1,01.12.2022,Bulgaria,BZN BG,01:00 - 02:00,137.03
2,01.12.2022,Bulgaria,BZN BG,02:00 - 03:00,17.08
3,01.12.2022,Bulgaria,BZN BG,03:00 - 04:00,10.74
4,01.12.2022,Bulgaria,BZN BG,04:00 - 05:00,67.09
5,01.12.2022,Bulgaria,BZN BG,05:00 - 06:00,283.46
6,01.12.2022,Bulgaria,BZN BG,06:00 - 07:00,214.3
7,01.12.2022,Bulgaria,BZN BG,07:00 - 08:00,367.66
8,01.12.2022,Bulgaria,BZN BG,08:00 - 09:00,462.46
9,01.12.2022,Bulgaria,BZN BG,09:00 - 10:00,458.37
10,01.12.2022,Bulgaria,BZN BG,10:00 - 11:00,450.4
11,01.12.2022,Bulgaria,BZN BG,11:00 - 12:00,431.19
12,01.12.2022,Bulgaria,BZN BG,12:00 - 13:00,435.01
13,01.12.2022,Bulgaria,BZN BG,13:00 - 14:00,399.99
14,01.12.2022,Bulgaria,BZN BG,14:00 - 15:00,459.45
15,01.12.2022,Bulgaria,BZN BG,15:00 - 16:00,461.78
16,01.12.2022,Bulgaria,BZN BG,16:00 - 17:00,458.15
17,01.12.2022,Bulgaria,BZN BG,17:00 - 18:00,484.07
18,01.12.2022,Bulgaria,BZN BG,18:00 - 19:00,469.79
19,01.12.2022,Bulgaria,BZN BG,19:00 - 20:00,457.89
20,01.12.2022,Bulgaria,BZN BG,20:00 - 21:00,430.15
21,01.12.2022,Bulgaria,BZN BG,21:00 - 22:00,171.74
22,01.12.2022,Bulgaria,BZN BG,22:00 - 23:00,340.3
23,01.12.2022,Bulgaria,BZN BG,23:00 - 00:00,276.72
0,01.12.2022,Croatia,BZN HR,00:00 - 01:00,275.75
1,01.12.2022,Croatia,BZN HR,01:00 - 02:00,269.81
2,01.12.2022,Croatia,BZN HR,02:00 - 03:00,249.22
3,01.12.2022,Croatia,BZN HR,03:00 - 04:00,239.49
4,01.12.2022,Croatia,BZN HR,04:00 - 05:00,244.98
5,01.12.2022,Croatia,BZN HR,05:00 - 06:00,283.45
6,01.12.2022,Croatia,BZN HR,06:00 - 07:00,332.99
7,01.12.2022,Croatia,BZN HR,07:00 - 08:00,435.61
8,01.12.2022,Croatia,BZN HR,08:00 - 09:00,462.18
9,01.12.2022,Croatia,BZN HR,09:00 - 10:00,457.89
10,01.12.2022,Croatia,BZN HR,10:00 - 11:00,449.61
11,01.12.2022,Croatia,BZN HR,11:00 - 12:00,441.61
12,01.12.2022,Croatia,BZN HR,12:00 - 13:00,434.38
13,01.12.2022,Croatia,BZN HR,13:00 - 14:00,437.58
14,01.12.2022,Croatia,BZN HR,14:00 - 15:00,462.2
15,01.12.2022,Croatia,BZN HR,15:00 - 16:00,461.35
16,01.12.2022,Croatia,BZN HR,16:00 - 17:00,458.07
17,01.12.2022,Croatia,BZN HR,17:00 - 18:00,484.07
18,01.12.2022,Croatia,BZN HR,18:00 - 19:00,469.79
19,01.12.2022,Croatia,BZN HR,19:00 - 20:00,457.89
20,01.12.2022,Croatia,BZN HR,20:00 - 21:00,429.9
21,01.12.2022,Croatia,BZN HR,21:00 - 22:00,355.09
22,01.12.2022,Croatia,BZN HR,22:00 - 23:00,340.19
23,01.12.2022,Croatia,BZN HR,23:00 - 00:00,303.11
0,01.12.2022,Cyprus,BZN CY,00:00 - 01:00,
1,01.12.2022,Cyprus,BZN CY,01:00 - 02:00,
2,01.12.2022,Cyprus,BZN CY,02:00 - 03:00,
3,01.12.2022,Cyprus,BZN CY,03:00 - 04:00,
4,01.12.2022,Cyprus,BZN CY,04:00 - 05:00,
5,01.12.2022,Cyprus,BZN CY,05:00 - 06:00,
6,01.12.2022,Cyprus,BZN CY,06:00 - 07:00,
7,01.12.2022,Cyprus,BZN CY,07:00 - 08:00,
8,01.12.2022,Cyprus,BZN CY,08:00 - 09:00,
9,01.12.2022,Cyprus,BZN CY,09:00 - 10:00,
10,01.12.2022,Cyprus,BZN CY,10:00 - 11:00,
11,01.12.2022,Cyprus,BZN CY,11:00 - 12:00,
12,01.12.2022,Cyprus,BZN CY,12:00 - 13:00,
13,01.12.2022,Cyprus,BZN CY,13:00 - 14:00,
14,01.12.2022,Cyprus,BZN CY,14:00 - 15:00,
15,01.12.2022,Cyprus,BZN CY,15:00 - 16:00,
16,01.12.2022,Cyprus,BZN CY,16:00 - 17:00,
17,01.12.2022,Cyprus,BZN CY,17:00 - 18:00,
18,01.12.2022,Cyprus,BZN CY,18:00 - 19:00,
19,01.12.2022,Cyprus,BZN CY,19:00 - 20:00,
20,01.12.2022,Cyprus,BZN CY,20:00 - 21:00,
21,01.12.2022,Cyprus,BZN CY,21:00 - 22:00,
22,01.12.2022,Cyprus,BZN CY,22:00 - 23:00,
23,01.12.2022,Cyprus,BZN CY,23:00 - 00:00,
0,01.12.2022,Czech Republic,BZN CZ,00:00 - 01:00,293.48
1,01.12.2022,Czech Republic,BZN CZ,01:00 - 02:00,293.18
2,01.12.2022,Czech Republic,BZN CZ,02:00 - 03:00,287.79
3,01.12.2022,Czech Republic,BZN CZ,03:00 - 04:00,277.74
4,01.12.2022,Czech Republic,BZN CZ,04:00 - 05:00,274.22
5,01.12.2022,Czech Republic,BZN CZ,05:00 - 06:00,283.48
6,01.12.2022,Czech Republic,BZN CZ,06:00 - 07:00,353.7
7,01.12.2022,Czech Republic,BZN CZ,07:00 - 08:00,450.24
8,01.12.2022,Czech Republic,BZN CZ,08:00 - 09:00,462.83
9,01.12.2022,Czech Republic,BZN CZ,09:00 - 10:00,459.54
10,01.12.2022,Czech Republic,BZN CZ,10:00 - 11:00,451.53
11,01.12.2022,Czech Republic,BZN CZ,11:00 - 12:00,445.49
12,01.12.2022,Czech Republic,BZN CZ,12:00 - 13:00,436.56
13,01.12.2022,Czech Republic,BZN CZ,13:00 - 14:00,446.3
14,01.12.2022,Czech Republic,BZN CZ,14:00 - 15:00,463.85
15,01.12.2022,Czech Republic,BZN CZ,15:00 - 16:00,462.36
16,01.12.2022,Czech Republic,BZN CZ,16:00 - 17:00,458.12
