mtu,Austria,Belgium,Bulgaria,Croatia,Czech Rep.,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland
00:00 - 01:00,41.52,1.8,114.87,62.08,28.26,6.92,180.02,6.92,5.86,31.41,114.87,76.36,116.05,112.99555555555555,180.02,180.02,31.41,103.53,13.54,103.78,23.191666666666666,121.58,81.66,114.87,102.6,-5.5,49.57,81.66,6.92,39.83
01:00 - 02:00,27.72,0.0,96.76,49.28,15.77,4.77,4.71,4.71,5.76,20.13,96.76,65.24,116.05,98.97777777777777,4.71,4.71,20.13,95.56,6.37,93.37,14.99,111.94,81.66,96.76,100.35,-5.0,36.52,81.66,4.71,32.45
02:00 - 03:00,28.83,-0.88,91.88,44.67,18.7,4.0600000000000005,128.95,4.12,10.44,20.59,91.88,53.73,115.0,95.6,128.95,128.95,20.59,93.51,4.0,87.03,8.235,104.81,81.42,91.88,89.99,-5.33,35.13,81.42,4.12,28.59
03:00 - 04:00,28.85,-1.11,90.41,45.09,17.96,2.67,4.09,2.67,12.58,19.79,90.41,53.82,115.0,94.5311111111111,4.09,4.09,19.79,93.73,2.67,85.38,6.72,104.46,87.75,90.41,85.06,-6.46,35.45,87.75,2.67,24.0
04:00 - 05:00,24.27,2.65,91.85,44.72,11.22,2.92,25.06,2.92,9.08,8.98,91.85,59.62,115.0,94.53222222222222,25.06,25.06,8.98,93.63,2.92,85.69,10.733333333333334,91.87,88.2,91.85,83.01,-16.5,32.98,88.2,2.92,26.33
05:00 - 06:00,25.73,4.3,96.28,46.54,12.92,5.72,160.01,5.72,6.78,10.01,96.28,62.69,99.28,95.92666666666668,160.01,160.01,10.01,95.77,5.72,90.95,13.823333333333332,91.68,90.01,96.28,90.02,-14.02,34.57,90.01,5.72,30.6
06:00 - 07:00,44.33,9.08,104.56,62.05,35.76,19.99,160.1,19.99,12.0,38.19,104.56,76.59,94.92,103.97,160.1,160.1,38.19,108.91,20.18,95.08,21.251666666666665,122.5,95.33,104.56,100.58,9.54,51.89,95.33,19.99,39.08
07:00 - 08:00,44.68,27.96,97.26,75.61,44.3,28.89,180.06,28.69,40.9,45.75,97.26,73.81,108.0,113.83999999999999,180.06,180.06,45.75,109.08,30.95,95.08,29.876666666666665,110.54,104.25,97.26,100.03,27.56,74.43,104.25,28.69,43.79
08:00 - 09:00,37.09,40.0,58.91,53.24,38.55,30.575,34.32,29.68,40.64,39.43,58.91,50.4,115.2,123.73999999999998,34.32,34.32,39.43,101.89,39.7,90.07,31.255,81.05,91.43,58.91,91.64,32.39,54.04,91.43,29.68,41.34
09:00 - 10:00,18.51,18.57,25.0,18.9,18.5,18.56,18.65,18.56,18.57,18.56,25.0,18.16,140.0,102.51,18.65,18.65,18.56,89.98,18.56,85.98,25.94333333333333,35.65,59.5,25.0,88.5,18.51,18.64,59.5,18.56,28.12
10:00 - 11:00,3.18,2.99,10.05,4.19,2.8,2.95,5.57,5.57,3.04,2.95,10.05,2.86,135.7,97.43,5.57,5.57,2.95,93.29,2.96,70.35,16.775000000000002,2.3,35.01,10.05,71.12,2.27,3.6,35.01,3.6050000000000004,5.94
11:00 - 12:00,1.1,0.51,15.0,3.26,0.45,0.41,6.32,6.32,0.63,0.41,15.0,0.71,135.7,94.64,6.32,6.32,0.41,88.95,0.42,65.75,14.200000000000001,0.12,29.0,15.0,67.47,-0.45,2.01,29.0,1.8875,-0.03
12:00 - 13:00,0.0,0.43,43.96,11.66,0.21,-0.04,4.56,4.56,0.92,-0.05,43.96,1.74,120.5,84.0,4.56,4.56,-0.05,51.74,0.1,54.79,14.385,-0.04,12.29,43.96,68.68,-1.77,9.59,7.44,1.1099999999999999,-2.02
13:00 - 14:00,1.38,-0.25,55.0,10.37,-0.89,-0.55,4.44,4.44,0.21,-0.64,55.0,-0.05,130.0,82.1,4.44,4.44,-0.64,71.62,-0.55,73.13,13.853333333333333,-2.93,11.87,55.0,70.06,-4.68,5.9,3.32,0.6975,-4.6
14:00 - 15:00,2.41,-0.4,59.62,11.83,-0.16,-0.77,1.64,1.64,0.1,-0.78,59.62,1.26,121.7,86.38,1.64,1.64,-0.78,77.74,-0.77,80.85,13.729999999999999,-0.77,10.93,59.62,78.25,-3.48,6.57,3.32,-0.16750000000000004,-3.75
15:00 - 16:00,4.56,0.52,84.75,18.46,0.82,-0.03,0.0,0.0,1.23,-0.03,84.75,2.82,117.36,92.08,0.0,0.0,-0.03,91.42,-0.01,91.96,16.863333333333333,46.78,7.21,84.75,96.29,-4.19,10.55,1.23,-0.0225,0.99
16:00 - 17:00,6.55,2.54,89.67,20.03,2.73,1.93,1.93,1.93,3.32,1.93,89.67,4.31,129.42,96.54,1.93,1.93,1.93,98.56,1.97,85.98,23.5,78.98,3.32,89.67,106.63,-2.61,12.05,3.32,1.93,5.03
17:00 - 18:00,18.7,17.14,90.41,32.82,14.36,14.934999999999999,13.06,13.06,17.42,16.81,90.41,22.18,131.0,98.41000000000001,13.06,13.06,16.81,104.86,16.97,93.4,27.726666666666663,109.56,17.42,90.41,95.28,12.0,23.86,17.42,13.06,29.95
18:00 - 19:00,57.05,53.14,109.45,78.63,55.03,24.16,79.82,23.27,38.0,64.35,109.45,108.06,140.74,108.69,79.82,79.82,64.35,103.1,64.26,107.44,30.67,136.73,38.0,109.45,103.93,80.14,65.77,38.0,23.27,33.93
19:00 - 20:00,67.42,78.58,207.12,144.32,70.09,36.7,131.28,24.82,63.31,90.09,144.45,203.46,140.41,141.95555555555555,131.28,131.28,90.09,127.02,90.81,133.44,32.73833333333334,131.28,63.31,207.12,133.54,135.83,122.0,63.31,24.82,49.38
20:00 - 21:00,76.92,106.4,200.99,182.85,172.24,37.81,179.14,23.49,82.7,142.36,199.65,204.68,135.7,153.16444444444446,179.14,179.14,142.36,144.53,132.64,154.44,32.80833333333333,179.14,82.7,200.99,152.55,190.08,178.27,82.7,23.49,47.81
21:00 - 22:00,86.9,115.75,173.75,167.34,140.0,60.06,151.69,19.98,95.0,130.38,162.83,170.99,130.0,143.06666666666666,151.69,151.69,130.38,130.95,132.12,134.1,32.27166666666667,151.69,95.0,173.75,134.19,158.27,170.25,95.0,19.98,51.01
22:00 - 23:00,82.99,105.83,153.23,120.45,91.99,82.86,120.42,11.78,106.33,102.22,130.5,148.1,115.0,117.63666666666667,120.42,120.42,102.22,113.61,105.65,117.11,32.355,120.42,106.33,153.23,117.12,116.56,106.33,106.33,17.45,51.0
23:00 - 00:00,76.0,85.29,109.16,101.48,81.9,84.95,93.07,0.59,85.45,84.95,109.16,105.02,104.96,108.17222222222222,93.07,93.07,84.95,97.81,85.29,98.91,31.96166666666667,115.34,90.4,109.16,103.84,93.34,100.65,90.4,10.99,48.03
