country,mtu,price(eur/mwh)
Austria,00:00 - 01:00,132.73
Austria,01:00 - 02:00,122.92
Austria,02:00 - 03:00,114.97
Austria,03:00 - 04:00,111.3
Austria,04:00 - 05:00,107.02
Austria,05:00 - 06:00,114.82
Austria,06:00 - 07:00,134.23
Austria,07:00 - 08:00,149.32
Austria,08:00 - 09:00,152.9
Austria,09:00 - 10:00,130.12
Austria,10:00 - 11:00,116.0
Austria,11:00 - 12:00,107.74
Austria,12:00 - 13:00,106.72
Austria,13:00 - 14:00,106.79
Austria,14:00 - 15:00,106.46
Austria,15:00 - 16:00,106.72
Austria,16:00 - 17:00,108.19
Austria,17:00 - 18:00,125.77
Austria,18:00 - 19:00,137.3
Austria,19:00 - 20:00,157.43
Austria,20:00 - 21:00,153.3
Austria,21:00 - 22:00,147.18
Austria,22:00 - 23:00,134.34
Austria,23:00 - 00:00,120.9
Belgium,00:00 - 01:00,132.87
Belgium,01:00 - 02:00,123.31
Belgium,02:00 - 03:00,115.31
Belgium,03:00 - 04:00,111.33
Belgium,04:00 - 05:00,107.02
Belgium,05:00 - 06:00,113.78
Belgium,06:00 - 07:00,131.33
Belgium,07:00 - 08:00,148.24
Belgium,08:00 - 09:00,151.71
Belgium,09:00 - 10:00,130.0
Belgium,10:00 - 11:00,116.05
Belgium,11:00 - 12:00,111.42
Belgium,12:00 - 13:00,110.97
Belgium,13:00 - 14:00,106.88
Belgium,14:00 - 15:00,106.47
Belgium,15:00 - 16:00,106.76
Belgium,16:00 - 17:00,108.18
Belgium,17:00 - 18:00,124.42
Belgium,18:00 - 19:00,137.3
Belgium,19:00 - 20:00,157.43
Belgium,20:00 - 21:00,155.11
Belgium,21:00 - 22:00,147.18
Belgium,22:00 - 23:00,134.34
Belgium,23:00 - 00:00,120.86
Bulgaria,00:00 - 01:00,109.05
Bulgaria,01:00 - 02:00,60.45
Bulgaria,02:00 - 03:00,60.45
Bulgaria,03:00 - 04:00,107.31
Bulgaria,04:00 - 05:00,107.02
Bulgaria,05:00 - 06:00,78.6
Bulgaria,06:00 - 07:00,44.74
Bulgaria,07:00 - 08:00,45.53
Bulgaria,08:00 - 09:00,44.75
Bulgaria,09:00 - 10:00,23.99
Bulgaria,10:00 - 11:00,34.4
Bulgaria,11:00 - 12:00,25.06
Bulgaria,12:00 - 13:00,34.39
Bulgaria,13:00 - 14:00,14.54
Bulgaria,14:00 - 15:00,18.46
Bulgaria,15:00 - 16:00,72.52
Bulgaria,16:00 - 17:00,105.57
Bulgaria,17:00 - 18:00,106.58
Bulgaria,18:00 - 19:00,137.3
Bulgaria,19:00 - 20:00,157.43
