country,price(eur/mwh)
Albania,
Austria,87.0
Belgium,72.0
Bosnia and Herz.,
Bulgaria,90.0
Croatia,88.0
Cyprus,
Czech Rep.,90.0
Denmark,89.0
Estonia,109.0
Finland,112.0
France,52.0
Georgia,
Germany,89.0
Greece,90.0
Hungary,91.0
Ireland,85.0
Italy,93.0
Kosovo,
Latvia,109.0
Lithuania,109.0
Luxembourg,89.0
Malta,
Moldova,
Montenegro,90.0
Netherlands,83.0
North Macedonia,88.0
Norway,79.0
Poland,103.0
Portugal,38.0
Romania,90.0
Serbia,90.0
Slovakia,93.0
Slovenia,87.0
Spain,39.0
Sweden,85.0
Switzerland,88.0
Turkey,
Ukraine,
United Kingdom,
