country,price(eur/mwh)
Albania,
Austria,45.0
Belgium,67.0
Bosnia and Herzegovenia,
Bulgaria,78.0
Croatia,77.0
Cyprus,
Czech Republic,78.0
Denmark,64.0
Estonia,65.0
Finland,65.0
France,127.0
Georgia,
Germany,33.0
Greece,226.0
Hungary,79.0
Ireland,170.0
Italy,188.0
Kosovo,
Latvia,65.0
Lithuania,69.0
Luxembourg,33.0
Malta,
Moldova,
Montenegro,
Netherlands,69.0
North Macedonia,
Norway,98.0
Poland,78.0
Portugal,58.0
Romania,78.0
Serbia,89.0
Slovakia,80.0
Slovenia,77.0
Spain,58.0
Sweden,64.0
Switzerland,74.0
Turkey,
Ukraine,
United Kingdom,
